Abrev,total_cases
AK,13200147.0
AL,115936403.0
AR,70991298.0
AZ,183180680.0
CA,769052898.0
CO,100517409.0
CT,66917227.0
DE,20528135.0
FL,472974424.0
GA,233527883.0
HI,7290072.0
IA,80877487.0
ID,40168679.0
IL,289066046.0
IN,149102032.0
KS,65561948.0
KY,86972966.0
LA,107319646.0
MA,132539901.0
MD,96499856.0
ME,10088523.0
MI,171771663.0
MN,117342873.0
MO,121934607.0
MS,69985591.0
MT,22178696.0
NC,193543123.0
ND,23958246.0
NE,47333827.0
NH,16125053.0
NJ,203046218.0
NM,39988918.0
NV,68302075.0
NY,421209645.0
OH,211092982.0
OK,91078258.0
OR,36275685.0
PA,216724948.0
RI,26519480.0
SC,116565180.0
SD,26678610.0
TN,173685732.0
TX,608438170.0
UT,82712370.0
VA,131557924.0
VT,3571633.0
WA,82211729.0
WI,142876636.0
WV,27869131.0
WY,11894013.0
